video_id,publish_time,views,likes,dislikes,comment_count,new_views,new likes,new dislikes,new comment_count,views_change,likes_change,dislikes_change,comment_count_change
AZQvPibYXRo,2017-11-13T00:56:30.000Z,784937.0,4553.0,290.0,1478.0,898231.0,4987.0,320.0,1503.0,113294.0,434.0,30.0,25.0
UhZ56rcWwRQ,2017-11-20T01:22:15.000Z,2358051.0,24368.0,5513.0,5622.0,8585825.0,53317.0,10012.0,10093.0,6227774.0,28949.0,4499.0,4471.0
ai_UWoM37dI,2017-11-18T19:55:30.000Z,6988208.0,368569.0,8898.0,103635.0,8240724.0,398688.0,9711.0,102400.0,1252516.0,30119.0,813.0,-1235.0
LymuZ8abvmc,2017-11-19T07:14:52.000Z,1675419.0,12798.0,1558.0,1625.0,2808884.0,18065.0,2532.0,2397.0,1133465.0,5267.0,974.0,772.0
8mCcM-PUmLM,2017-11-19T21:29:25.000Z,2382878.0,119254.0,1404.0,10148.0,3366040.0,141709.0,1670.0,10835.0,983162.0,22455.0,266.0,687.0
8sAApdJdG3A,2017-11-19T22:14:59.000Z,226800.0,2167.0,123.0,1137.0,650346.0,4209.0,301.0,1408.0,423546.0,2042.0,178.0,271.0
0s6-iFoCFNQ,2017-11-18T17:00:00.000Z,2788162.0,27260.0,896.0,3970.0,7352057.0,57344.0,1728.0,6290.0,4563895.0,30084.0,832.0,2320.0
pVypbknP4A8,2017-11-19T03:23:32.000Z,214150.0,4262.0,535.0,753.0,1081085.0,12027.0,1028.0,1699.0,866935.0,7765.0,493.0,946.0
XY5OYFc1tzU,2017-11-18T17:30:00.000Z,325569.0,12404.0,1024.0,1437.0,604410.0,17735.0,1400.0,1646.0,278841.0,5331.0,376.0,209.0
PliRMGvytnA,2017-11-18T16:43:23.000Z,2316153.0,96546.0,1087.0,10106.0,4523189.0,131410.0,1668.0,11682.0,2207036.0,34864.0,581.0,1576.0
xnBtEib-H9E,2017-11-19T16:00:05.000Z,91100.0,1174.0,200.0,323.0,402132.0,4334.0,348.0,589.0,311032.0,3160.0,148.0,266.0
hLgIghY-FGc,2017-11-18T07:13:05.000Z,818533.0,42798.0,855.0,5748.0,5144040.0,110215.0,3669.0,13708.0,4325507.0,67417.0,2814.0,7960.0
9Tb3xPmr3yg,2017-11-19T15:44:28.000Z,88952.0,591.0,59.0,594.0,93796.0,599.0,61.0,515.0,4844.0,8.0,2.0,-79.0
NNywashg_mw,2017-11-19T14:10:10.000Z,41824.0,212.0,42.0,116.0,44888.0,217.0,48.0,110.0,3064.0,5.0,6.0,-6.0
5n9xafjynJA,2017-11-17T06:27:36.000Z,2175978.0,37009.0,915.0,5657.0,2565238.0,38681.0,1039.0,5742.0,389260.0,1672.0,124.0,85.0
UrSxvUc5R6Q,2017-11-18T19:42:33.000Z,44805.0,1496.0,106.0,1098.0,83869.0,2303.0,199.0,1189.0,39064.0,807.0,93.0,91.0
wc4v9uT6GWc,2017-11-19T17:22:39.000Z,24715.0,180.0,28.0,152.0,26483.0,173.0,28.0,0.0,1768.0,-7.0,0.0,-152.0
Q11GPMvTxQE,2017-11-19T12:28:24.000Z,111349.0,662.0,72.0,611.0,115217.0,670.0,80.0,0.0,3868.0,8.0,8.0,-611.0
ssVrzoCgr_w,2017-11-17T02:00:01.000Z,1675392.0,16239.0,746.0,1946.0,1946624.0,17338.0,835.0,1891.0,271232.0,1099.0,89.0,-55.0
wuEKwkTqdw4,2017-11-19T05:07:23.000Z,25203.0,263.0,355.0,688.0,26359.0,269.0,356.0,539.0,1156.0,6.0,1.0,-149.0
n47bRyBKjsw,2017-11-18T20:00:10.000Z,50934.0,1349.0,40.0,138.0,108258.0,2024.0,62.0,189.0,57324.0,675.0,22.0,51.0
r15_6z9xryo,2017-11-17T13:01:28.000Z,2533102.0,19731.0,2011.0,1903.0,18599138.0,131614.0,11666.0,9781.0,16066036.0,111883.0,9655.0,7878.0
fQvGSkTYJSE,2017-11-17T14:36:39.000Z,836305.0,9164.0,664.0,3133.0,1376849.0,11989.0,916.0,0.0,540544.0,2825.0,252.0,-3133.0
eKwAib6LosM,2017-11-17T05:00:01.000Z,474712.0,17620.0,202.0,922.0,7182075.0,62769.0,2212.0,0.0,6707363.0,45149.0,2010.0,-922.0
KkhR9z6pAMs,2013-03-22T22:46:47.000Z,5464.0,13.0,1.0,2.0,7705.0,16.0,2.0,4.0,2241.0,3.0,1.0,2.0
NSgMcs1KdTI,2017-11-17T15:50:58.000Z,22607.0,1472.0,22.0,91.0,268459.0,5753.0,126.0,143.0,245852.0,4281.0,104.0,52.0
5PB2YzNddI8,2017-11-17T05:00:00.000Z,612279.0,29873.0,520.0,1458.0,2439204.0,53651.0,1122.0,0.0,1826925.0,23778.0,602.0,-1458.0
