video id,views
JA_sKkXiQMI,"19,765"
lYtllIKb70M,0,0,0,0
mto2mNFbrps,"3,513,523"
1WREZPc-kqQ,"1,130,825"
oo9JMSiI55M,"1,467,475"
24HFgBQawWA,"462,724"
LsoLEjrDogU,"482,581,999"
72hlr-E7KA0,"1,313,075"
Y3TmKEeBUMM,"103,603"
S45Y5WQ4Ucs,"3,838,802"
ejlD0Sg-8ig,"1,322,510"
ooWd_9OAAUg,"1,990,664"
_yThFcog0nA,"2,957,941"
S0eLwrrTBlc,"17,589"
dqr-AT5HvyM,"53,786"
vXBfwgwT1nQ,"7,650,603"
GtzFWqiVzW4,0,0,0,0
3mB2fIt7vzw,"8,843"
dbMtuJ1tZnc,"1,107,900"
kQQZ2hje42E,"230,222"
tgHnvbYlW2k,"471,154"
KX0fOxBVMRc,"276,119"
F8BdzL8OltM,"3,204,899"
gA-NDZb29I4,"66,225,278"
wgqY-ojvNUQ,"286,558"
Uvh3v1BkJ-A,"1,176,934"
vKuy3NdLhlE,"206,723"
_YSVbM1saXM,"7,041,598"
Pc1Obe1BWhc,"18,675"
qmcVlPqy9-o,"6,294"
_9krQvcXKO4,"111,225"
Ysh3Z_rOa_U,"18,752"
f6Egj7ncOi8,"7,027,617"
GdR0JlvbtWg,"576,616"
DWaU47V3rMU,"1,565,693"
-7UzyXO-mzk,"4,846,859"
HzILu6yyA20,"10,435,072"
6PXz2gNNR9o,"165,071"
Xqy62kBAiLk,"25,975"
ss6qQM054B0,0,0,0,0
WKfVxoPO_Qc,"1,014,303"
dtdiFUwRQqM,"251,575"
D0aAYfRBVik,"4,082,375"
J0jgpUIbMEo,"199,474"
Js3WIRF595U,"1,144,975"
aBL027wEtg8,"1,489,286"
fN5HV79_8B8,"10,230,665"
iM4lgtCFMGw,"1,722,267"
ztLELdQDadE,"36,705"
r3W2qepsQe4,"2,748,168"
BIVGh32dVnE,"158,036"
YtbArdw9oHc,"38,240"
QDqzQwKwvxo,"48,995"
mlpS-ph8-Ec,"996,978"
TaldfjkrHy4,"643,789"
Jcghl0lbDSk,"8,339,661"
HnYKhetlm3s,"1,032,646"
8sg8lY-leE8,"3,107,784"
C2-bOy3H6Ss,"684,784"
BzzG-yDxA1c,"79,357"
1JNxKJnPDAs,"518,842"
RfFcaV5O7SU,"3,510,902"
EeNrUTiwZVw,"1,194,627"
rxUfRhVYeKI,"435,201"
hVOjyy5NuFY,"693,390"
dfnCAmr569k,"172,173,382"
k5TqNsr6YuQ,"38,349,799"
27GV1PS8_Cw,"177,144"
K8rE3XR9z8Q,"257,628"
c47kn_Y4y8A,"4,535,201"
mE9oqeXj4WY,"2,433,700"
80L97nV_vQc,"478,694"
9qRqfWJ6ONU,"378,578"
4tKdWdBf0M0,"1,466,520"
ARA0AxrnHdM,"1,026,639"
Cf3zj7D8SQ4,"3,830,672"
WKrnYjpmcpE,"354,564"
mQdBJGlnQYs,"1,433,236"
nRJuIrO9GaU,"1,612,541"
Jiia2IcFwqk,"443,365"
__-22AJoFxY,"2,465,372"
7sEKooUZi7I,"4,177"
P9mBXomW1No,"94,275"
OKgUiBOpsZ4,"2,397,833"
GLrSJJRKrDU,"604,075"
GxmDeU_4UlQ,"3,393,621"
XcdLVKYsHHU,"24,480,842"
8BQqX3bUqtY,"24,632,222"
1-jXHDiRnC0,"2,030,852"
gw82GrEt370,"6,605,266"
RCRVve3V1IY,"226,958"
A_yJqOZcIQ0,"11,589"
iyeWTFLzNZ4,"1,388,399"
iHcfeuGYuzU,"187,446"
mTHLyCqtLJE,"1,636,953"
3Mg0SCxwvMo,"211,843"
abeqEEmpbdM,0,0,0,0
zUrDUxh5xS0,"1,955,506"
aTgxG6LPh9w,"1,869,892"
gsVgqms1slE,"3,971,538"
GCTyFp0PpHE,"1,455,725"
MvFcY9rTPx8,"6,022,096"
aPrpWFl2eik,"1,930,106"
AiyZ92_JZxA,"5,371,372"
5TY79E-a2xU,"12,091"
mrSUROagyDc,"662,325"
PGH1V_yZq7k,"184,829"
a_u7g5BlfiY,"3,728,904"
lSaGEo3UfBk,"5,000,120"
WyWqEFeKX2E,"2,719,770"
kavxsXhzD48,"662,532"
akTosGXl8pI,"143,213"
FvLdEZ3mg54,"24,683"
WPkIJ5qlEhU,"467,356"
zNqSvg5qwGw,"1,278,481"
VuyaBA4h4uk,"217,479"
tYFYoLEO0dM,"127,283"
ir-_cm0BaWc,"4,648,717"
Q-oM2BQ8Jow,"13,913,643"
3BJU2drrtCM,"21,276,848"
DTErM4uuPdc,"1,212,976"
0eUk_VN3e2A,"4,344,384"
yigx1EjB85s,"100,558"
yBXcNcBnImc,"351,211"
v8VMdSQL50w,"131,874"
pccxxvvkHQQ,"86,873"
T5ITSG6KGlc,"1,272,815"
qMnjdV-eFuM,"2,098,161"
aB-UKwO367s,"5,071,735"
II-OP6vdMs8,"1,492,703"
40zKzYxwaF0,"295,771"
fQTVpWxu570,"307,178"
8EK-QMtHhMI,"2,005,394"
Hi2tjMLVpdQ,"4,133,501"
c2rEwAWHP7s,"318,590"
Lok8svIS218,"183,275"
_Ch5ClOB9AE,"788,856"
ewTQLoNPxYg,"88,132"
WAwRrtH-4Lg,"21,559,091"
_zu53yAoTJE,"3,718,929"
eACohWVwTOc,"222,563,433"
cPSpmSXNy_A,"956,427"
4ubwGb-vLA0,"4,875,216"
Oc27GxSD_bI,"403,278"
v6WdrNN9j8w,"4,841,956"
-yMXWp-Fh3g,"545,210"
wQZ95eZQtBE,"374,758"
aYnyMPc3LQ4,"8,738,092"
I92OeEHWmTc,"275,532"
qpAo_XvCQaQ,"1,328,717"
PSA-TnMwK9c,"361,481"
x2u-KEex34A,"1,641,345"
F4qfN5UeFvQ,"38,970,528"
KaTr8JC0hFA,"435,798"
sOz90t6gH-8,"24,278"
OX1ssH93th8,"3,216,524"
mSVkk9lLv1Y,"1,861,757"
wrpeEitIEpA,"2,645,395"
