views_change,likes,dislikes,comment_count,views,publish_time
484630,3424,268,180,237171,225
5704086,3354,118,305,2178547,226
16326,633,19,58,49638,226
2008245,1667,203,348,12030454,228
143226683,511764,9562,33304,16354826,221
102644,46508,939,5192,742552,222
308034,992,37,159,58933,221
9283,750,124,222,66239,222
7671,1005,51,132,52637,222
1157,539,144,510,166627,223
1129448,12801,163,921,400593,225
3280891,41673,3316,4975,2959424,226
86107,5958,2114,713,457513,226
128621,4485,136,613,104822,225
7911166,711348,6636,193355,7935379,220
342971,29431,3382,3736,1036632,221
13137648,25538,822,985,1114465,221
155869,8326,128,498,240955,222
5337028,1088,2175,118,15904385,223
168976,4080,92,489,97879,224
232405,11731,802,2494,302440,226
368841,855,602,1696,548993,227
4318729,143779,3230,6294,7049534,219
643595,24288,228,695,555861,219
328238,15766,575,2358,325082,220
996826,31997,1012,3187,488560,221
489053,13453,629,1389,1598439,222
452082,546,68,119,165175,221
59410,5901,301,617,844292,222
48668,4937,48,1211,80935,222
47511,904,103,94,213341,224
147854,4952,134,295,299038,225
4393814,39940,6346,3069,1929441,219
784784,34320,729,3500,1396551,220
528617,38666,2440,5887,2017280,221
10334,133,13,44,13127,219
40516,4947,56,450,211258,220
81362,4984,32,269,68487,221
5363,177,23,42,25373,221
2966,125,50,74,27931,222
725709,17200,939,1359,1520884,217
25808,16570,394,1098,308720,218
700192,19786,997,1436,649180,219
480786,7547,78,824,193794,218
17256,1078,67,89,118930,219
170590,6191,119,667,533815,220
14603,10833,257,1337,564897,221
3437,234,10,73,60574,221
639836,7269,62,1053,94640,222
171524,24243,835,1001,561569,216
30531,5853,116,440,173997,217
2275558,5910,549,322,407199,218
418619,27109,1225,5306,850594,220
363547,30468,229,1417,571347,219
384144,4496,94,91,164062,220
141175,7708,113,574,210223,221
11559921,372667,8101,27913,7999926,217
857665,16390,576,939,1233075,218
39133,11378,354,938,245308,218
6343,1178,6,54,18330,220
17496,4093,57,1244,65481,221
857792,73725,1549,7013,922301,214
