video_id,publish_time,views,likes,dislikes,comment_count,new_views,views_change
M6LTqtYKDtI,2017-11-21T15:00:16.000Z,1420335.0,51801.0,1441.0,3499.0,7208065.0,5787730.0
3IaL0li-LWU,2017-11-22T15:04:44.000Z,219585.0,4512.0,903.0,4952.0,226813.0,7228.0
vFK7oWLWapc,2017-11-22T03:08:55.000Z,338425.0,10947.0,2133.0,2991.0,685847.0,347422.0
Da2crn5NXc4,2017-11-22T18:00:02.000Z,1018706.0,68667.0,2854.0,984.0,1347151.0,328445.0
GyvRamX1VyA,2017-11-21T21:38:54.000Z,480162.0,17538.0,325.0,1389.0,5746768.0,5266606.0
Yq4_YocuVeg,2017-11-22T16:01:20.000Z,116657.0,2162.0,47.0,207.0,311750.0,195093.0
0PW9MWDWLH8,2017-11-22T08:23:18.000Z,150117.0,11143.0,64.0,899.0,178616.0,28499.0
SJUhFjNfaZY,2017-10-17T15:31:08.000Z,72728.0,502.0,43.0,74.0,87509.0,14781.0
TfHJJeiS-aI,2017-11-22T06:18:38.000Z,199922.0,2013.0,55.0,147.0,454418.0,254496.0
leFNoUJmJ9o,2017-11-22T01:14:10.000Z,26940.0,1933.0,11.0,319.0,92597.0,65657.0
X5DWRXTOUD0,2017-11-21T23:32:56.000Z,748102.0,47024.0,1670.0,3775.0,1228262.0,480160.0
Zxag9p-63RU,2017-11-22T14:08:18.000Z,1484851.0,6093.0,304.0,601.0,4016806.0,2531955.0
FaxqVBYVOVU,2017-11-22T02:46:07.000Z,246989.0,8801.0,101.0,712.0,1135104.0,888115.0
HszBf-CJeVE,2017-11-21T17:51:10.000Z,1485868.0,64074.0,738.0,3230.0,4565539.0,3079671.0
FTv-CE43PpM,2017-11-21T19:47:18.000Z,93534.0,1986.0,225.0,857.0,115381.0,21847.0
UQHSK-kgONk,2017-11-21T18:50:21.000Z,279046.0,5342.0,83.0,342.0,1484434.0,1205388.0
_akwfRuL4os,2017-11-21T19:29:03.000Z,307975.0,9093.0,225.0,2172.0,346458.0,38483.0
XcUiOyKclOI,2017-11-21T15:56:31.000Z,125128.0,4623.0,49.0,305.0,720326.0,595198.0
CWrjDoEBQsw,2017-11-21T15:59:21.000Z,612653.0,23052.0,301.0,2125.0,948244.0,335591.0
pmdVVDkvJXU,2017-11-21T15:00:05.000Z,94892.0,1503.0,16.0,288.0,199993.0,105101.0
Yhea380bYp0,2017-11-21T19:02:57.000Z,221395.0,18407.0,185.0,1298.0,591234.0,369839.0
8HTdbCohTXY,2017-11-22T11:22:07.000Z,22974.0,276.0,170.0,654.0,25429.0,2455.0
7cTi6PHUqMw,2017-11-21T17:00:14.000Z,40840.0,1435.0,86.0,824.0,43984.0,3144.0
WKcYTvyoidw,2017-11-21T20:00:02.000Z,45774.0,1100.0,56.0,297.0,58492.0,12718.0
NYizLfEYKuY,2017-11-20T15:00:03.000Z,195525.0,2205.0,148.0,231.0,1191392.0,995867.0
2a52cBN9qOA,2017-11-21T17:26:32.000Z,2232.0,12.0,3.0,19.0,3717.0,1485.0
v6d1rShfyZk,2017-11-21T16:02:44.000Z,4386.0,2.0,2.0,1.0,16113.0,11727.0
mN4JWnTOSmg,2017-11-19T20:23:56.000Z,27571.0,286.0,6.0,41.0,147380.0,119809.0
t5SXnaaOJfY,2017-11-20T05:46:11.000Z,82123.0,258.0,98.0,107.0,111356.0,29233.0
SW3X7-gk8q0,2017-11-20T05:00:02.000Z,437509.0,36907.0,306.0,4449.0,1162084.0,724575.0
qvLyNeMGdR4,2016-12-28T05:34:48.000Z,1689.0,7.0,0.0,2.0,2372.0,683.0
XisRqF3ympA,2017-11-20T16:00:01.000Z,15787.0,410.0,13.0,81.0,33922.0,18135.0
VjEyUUQP1s8,2017-11-17T21:18:38.000Z,3643.0,159.0,1.0,20.0,5970.0,2327.0
5HUCAF6898w,2017-11-20T18:00:00.000Z,2367.0,55.0,1.0,4.0,11715.0,9348.0
rovAxg5A48Q,2017-11-07T09:32:06.000Z,5584.0,38.0,2.0,10.0,7808.0,2224.0
nkXGohB02V0,2017-11-23T13:04:34.000Z,1113089.0,33670.0,794.0,1422.0,2245929.0,1132840.0
wV7RsaTY228,2017-11-23T12:00:08.000Z,631374.0,13097.0,11270.0,3119.0,1549733.0,918359.0
9VH4yQrU_SY,2017-11-23T11:00:02.000Z,184579.0,2565.0,84.0,242.0,1405320.0,1220741.0
1lGHZ5NMHRY,2017-11-22T20:00:01.000Z,4979612.0,46680.0,11703.0,0.0,10806657.0,5827045.0
Wen6VQS6NG4,2017-11-23T02:47:34.000Z,975232.0,20140.0,1954.0,2172.0,1873066.0,897834.0
JaNmH8A-4NM,2017-11-22T02:59:55.000Z,1057014.0,18934.0,692.0,2157.0,1168766.0,111752.0
s7wLPGmnahE,2017-11-22T14:46:57.000Z,297279.0,1733.0,245.0,169.0,401487.0,104208.0
KIFiLnPHUoM,2017-11-22T19:30:01.000Z,2805.0,52.0,7.0,8.0,4345.0,1540.0
aXLS_WDIugk,2016-11-10T19:37:00.000Z,17716.0,49.0,2.0,2.0,36208.0,18492.0
a9i2wTxsxV0,2015-09-21T23:40:45.000Z,6122.0,16.0,0.0,8.0,8060.0,1938.0
avDL9JRcmgs,2017-11-13T14:39:03.000Z,5696.0,8.0,0.0,1.0,19844.0,14148.0
TncLBbJ8SZo,2017-11-20T17:48:24.000Z,14175.0,344.0,13.0,106.0,15708.0,1533.0
mqbwgqoF64Q,2017-11-20T06:46:13.000Z,5169.0,27.0,0.0,4.0,15598.0,10429.0
LmO1y1ISuak,2017-11-20T00:39:48.000Z,51186.0,2106.0,22.0,320.0,62930.0,11744.0
xGz_FZ0ePwE,2017-11-24T16:04:33.000Z,1244459.0,17517.0,3671.0,8002.0,1759791.0,515332.0
kTlv5_Bs8aw,2017-11-24T09:00:02.000Z,36857298.0,2729292.0,47896.0,546100.0,338261611.0,301404313.0
